default,student,balance,income
No,No,597.757142017,31577.6151256
No,No,429.485402306,51311.218101
No,No,1398.15620148,39644.9421932
No,Yes,1578.06409854,19886.4939515
No,No,857.069053134,26655.6889654
No,Yes,752.459945959,16211.2757882
No,Yes,774.738426964,15193.7331355
No,No,728.373251303,45131.7182647
No,No,76.9912905299,28392.0934123
No,No,196.456913136,41346.7859132
No,Yes,948.747918389,14297.6190486
No,No,431.920885304,39369.8815631
No,No,461.638182234,46221.2114948
No,No,572.015760231,33046.3129575
No,No,335.568144733,51258.44423
No,No,510.237593156,60397.7186487
No,Yes,1005.16130556,24038.6520433
No,Yes,162.454451087,13241.7520601
No,No,932.533155682,50537.4656485
No,Yes,893.330467612,11905.6817925
No,No,1332.78256353,44495.1627629
No,No,1404.38306945,35043.1060287
No,Yes,1148.96513916,16578.1921185
No,No,368.223425721,57596.8258432
No,No,449.466628769,45950.6667239
No,No,820.017112578,51584.6573184
No,Yes,619.751868576,15750.6220834
No,No,1047.71812401,46416.9709942
No,No,243.841328326,47193.888131
No,No,186.500386931,45430.5502711
No,No,1422.01848758,38224.0315215
No,No,383.798659006,61425.2863881
No,No,1159.43509609,45802.1049387
No,No,882.991912552,17181.7379664
No,No,1463.23289161,65457.8541876
No,Yes,1722.35584628,19311.4229408
No,Yes,773.921861258,14558.9121384
No,No,958.169418469,32816.2847956
No,No,1207.53273015,68037.5751262
No,No,1056.6108305,30546.6010344
No,No,117.642483932,46550.2672706
No,No,596.964119237,58088.3604513
No,No,0.0,47729.6257582
No,Yes,541.662755324,16335.7034406
No,No,1119.17830342,45020.0191217
No,Yes,810.32093647,20498.6658141
No,No,271.551437747,32850.1201448
No,No,1114.4032365,47714.0221085
No,No,867.030828054,33540.9799848
No,Yes,1176.78940168,17632.7121038
No,No,610.227818661,42465.3629641
No,No,272.615661716,55449.3386406
No,No,449.735085837,49643.4264417
No,Yes,827.7672094,10673.5262254
No,No,430.00009945,33925.2195977
No,No,0.0,31825.7649719
No,Yes,1557.34463668,18404.5941892
No,No,928.236966261,33722.1589416
No,No,1373.45016329,49101.7982142
No,Yes,951.0729075,18601.5332375
No,Yes,1292.21086851,23065.8509754
No,No,582.188700707,24760.7957331
No,Yes,339.424638281,19307.9802903
No,No,409.982324609,44641.0901184
No,No,1216.45150955,53639.8468274
No,No,598.461392124,44124.2681146
Yes,Yes,1486.9981216,17854.3970281
No,No,943.796338714,59976.8398676
No,No,0.0,49525.7450208
No,Yes,996.276086767,20883.2407676
No,Yes,748.301340361,11248.6707527
No,No,324.737921782,15411.5185673
No,Yes,575.38215849,16005.681319
No,No,441.738284926,36012.2358965
No,No,1188.64217955,39526.5612653
No,No,95.1476801904,51371.1999148
No,No,1015.61483748,43218.7943752
No,No,1258.56739273,44931.6749177
No,Yes,1178.24441353,7750.28922056
No,No,731.532656254,43956.060084
No,No,350.08879214,44455.199515
No,No,418.848345434,36901.7833281
No,No,533.229465181,39393.5424773
No,No,95.2969741284,32359.3890284
No,Yes,1453.00593207,15933.002111
No,No,352.644414031,39404.7443665
No,Yes,736.238935462,14107.9939653
No,No,1306.48457228,41224.6250242
No,No,1149.14562718,45194.7946621
No,No,703.226890722,57679.2791425
No,Yes,1360.80043541,18864.3084887
No,No,31.4450805447,53287.3503013
No,No,988.214458069,48570.3634566
No,No,360.019073584,23927.5466134
No,No,647.483528619,33226.2775447
No,Yes,0.0,9816.78943756
No,No,445.241819216,31974.6245069
No,Yes,878.542064501,17496.7414822
No,Yes,335.834118576,21759.8702697
No,No,666.608881434,30438.4688266
No,No,813.87664702,40737.4597766
No,No,836.300071623,54607.1787395
No,No,967.482683682,33055.1102723
Yes,Yes,2205.79952115,14271.492253
No,Yes,1258.18521914,11672.2220033
No,No,1239.80169908,40107.1722104
No,Yes,0.0,13760.2984557
No,Yes,927.887732264,22473.379611
No,Yes,1390.03078252,21299.0992265
No,No,410.497704768,53471.2136303
No,No,73.0765421847,30681.7375351
No,No,790.597759247,45303.1033141
No,No,789.495096984,32579.9002059
No,No,791.360422079,46319.2361191
No,No,479.04237899,37255.8803343
No,No,888.61327255,28899.7917514
No,No,1284.38636051,42831.9546194
No,Yes,712.27635128,23341.9502302
No,Yes,1290.62016865,18408.049082
No,No,126.362685399,44280.9297886
No,No,779.376257696,61158.8851122
No,No,697.490957464,49476.7595993
No,No,606.974613548,43610.0330173
No,Yes,1802.90333356,21411.423949
No,No,900.085332597,41276.5631895
No,No,966.280287968,33440.9792998
No,No,671.061359639,35689.1118739
No,No,171.55911596,23505.9927713
No,No,1482.48030006,45260.6115978
No,No,640.662751732,46464.5659323
No,Yes,706.161027542,18078.3517922
Yes,Yes,1774.69422306,20359.5060856
No,No,916.499316923,25768.4074467
No,No,1271.27081236,36053.5029503
No,No,110.572909812,47339.1087512
No,No,1747.25888153,37819.289086
Yes,No,1889.59918976,48956.1715886
No,No,27.2013946506,21051.840126
No,No,746.229775057,35159.8502289
Yes,Yes,1899.39062585,20655.2000033
No,Yes,813.994565525,20391.5289482
No,No,499.457815095,38899.160461
No,No,853.161331661,36272.4517836
No,No,474.727319088,32064.3351058
No,No,1235.87611345,35838.7770154
No,No,620.675152596,44213.7701013
No,No,220.028569765,37880.0296472
No,Yes,1304.91429932,18074.0754152
No,Yes,1608.15255984,22358.046702
No,No,256.47122756,37657.0559168
No,Yes,1153.60499815,19224.9752298
No,No,771.895874509,31170.0852837
No,Yes,1099.63042218,17064.042828
No,No,782.883029664,40357.1334266
No,No,444.264906175,35924.3387929
No,No,504.028378738,24780.9612369
No,No,1762.50340199,42124.6600674
No,Yes,850.096116596,18618.9879075
No,No,1412.2387213,40785.0597694
No,No,715.496829589,47482.5653767
No,No,1363.52859942,55713.0416079
No,No,493.241889799,42495.2030841
No,No,1354.7525372,33375.1316904
No,Yes,571.293911015,15416.2693547
No,No,956.151352183,44086.7077342
No,No,964.820252985,34390.7460351
No,No,552.634366025,50513.1642384
No,No,338.266201647,37767.2398629
No,No,709.123351356,44041.6300941
No,No,978.97820041,57839.0537344
No,No,371.010127818,15702.707083
Yes,Yes,1572.85648082,14930.1783307
No,No,0.0,40150.2179811
Yes,No,1964.47687225,39054.5891443
No,No,548.037783442,33605.6494687
No,No,1257.05522169,34045.0088247
No,No,1189.91805697,38016.8939029
No,No,687.683759015,39373.5797462
No,No,845.698965839,39899.5126808
No,Yes,957.68483377,19676.3456492
No,No,233.516846267,43326.1053794
No,Yes,1126.94874392,14298.2645687
No,Yes,488.855176548,15159.4948475
No,No,767.90355978,44323.5796638
No,No,561.925799124,31388.5056454
No,Yes,1092.27001277,17454.6018395
No,No,71.7886830036,31965.7447146
No,Yes,1839.14368196,13625.3979304
No,Yes,876.000777907,22474.5740898
No,No,554.107811536,30357.0259772
No,No,891.31789805,43945.0416541
No,No,464.836333096,27324.8996871
No,Yes,563.5426611,24082.0393441
Yes,No,1530.35315715,30003.8171511
No,No,990.567026186,41690.2526226
No,No,590.399786499,42769.2038801
No,Yes,715.164109574,21153.5110082
No,No,1540.37772668,41852.0784358
No,No,1243.32651841,41639.6803816
No,Yes,235.328499909,20909.7047538
No,No,528.25432317,49394.3407745
No,No,592.253895623,30731.2016031
No,No,705.204971986,42683.1872433
No,No,456.515643991,48195.7758371
No,Yes,470.717574653,18052.1049991
No,Yes,1503.07512986,10600.4135403
No,No,1362.9655954,44217.9160352
No,No,908.771573688,45032.8459851
No,Yes,1096.82027215,16148.0600066
No,No,369.221942476,47835.0910453
No,No,673.399899046,50256.2902119
No,No,1038.50000752,51173.1413764
No,No,0.0,28762.9237797
No,No,527.194086573,32431.1182596
No,No,817.469336816,32974.4273524
No,Yes,1549.04275452,19702.2932058
No,Yes,566.713789352,11853.9531668
No,No,1496.05646488,24935.9187421
No,No,862.656656417,42844.8340023
No,No,1259.14941789,31263.6410817
No,No,1025.03883303,43510.0496379
No,Yes,703.277787103,14793.7426767
No,Yes,1082.39149735,15175.3612149
No,No,910.449023534,44054.9164233
No,Yes,996.543862161,16995.6604049
No,No,353.778226009,58514.3180765
No,Yes,782.710827501,13300.2974683
No,No,1716.59541824,51056.8682868
No,Yes,502.898638358,15153.9657626
No,No,1033.46846851,59203.967663
No,No,0.0,34925.3654101
No,Yes,1087.08349937,19263.7695817
No,No,1047.24424881,43899.7592451
No,No,1056.92735252,38367.8679465
No,Yes,979.224424633,26010.8878032
No,Yes,847.818706253,15978.6336257
No,No,781.771284763,50958.7905136
No,Yes,402.488886826,15904.0559208
No,No,204.740181715,17534.2905393
No,Yes,2022.67464324,18336.7431685
No,No,748.937063784,44186.6177603
No,No,838.275687752,35917.4906102
No,No,386.016049291,44694.030957
No,No,812.399296526,49623.1009821
No,Yes,1809.92656439,6985.1359454
No,No,0.0,30360.5489438
No,Yes,1328.18380412,24688.4737209
No,Yes,1464.93604883,26716.6863747
No,No,1200.56513765,39718.692657
No,No,989.686419964,27856.5770607
No,No,870.734579926,35539.2702158
No,Yes,1200.84739002,19849.8314129
No,Yes,1428.83204736,23204.681461
No,No,0.0,33951.2887259
No,Yes,359.458866538,21783.2694913
No,No,265.683949787,40862.7540056
No,No,1027.77053169,44406.8369143
No,No,729.047433498,35042.132997
No,No,1042.80491991,25867.1477169
No,No,230.230587899,37875.6148231
No,No,367.466012183,30611.2722707
No,Yes,737.705353941,20863.7996687
No,No,18.2612853635,30349.4604229
No,No,1257.76020889,30834.7713683
No,No,455.521513206,40907.3983538
No,No,56.9675603505,35458.4815614
No,Yes,723.9319853,12213.0371368
No,No,612.383157677,41379.7678083
No,Yes,1220.17760569,15308.1270713
No,No,1222.34769171,32363.3710506
No,No,1165.49113815,47684.2194497
Yes,No,1642.81999664,46856.9470391
No,No,944.173560018,56088.6837995
No,No,749.608003901,41423.9411732
No,No,370.375186778,31231.0078372
Yes,No,1991.64912011,42133.373176
No,No,773.915226577,44562.3381169
No,Yes,817.249811262,20480.8870561
No,No,1060.71621968,50260.4643659
Yes,No,1550.44926441,56273.5136084
No,Yes,454.466962213,15092.4393077
No,Yes,1256.23932542,17784.5589438
No,No,1484.39539298,36731.3086949
No,Yes,1050.47732793,12661.611631
No,No,986.400618926,45430.4722089
No,No,717.341926952,44266.3765402
No,No,692.143222682,47038.0903197
Yes,No,1328.89272522,34710.0623657
No,No,673.468191056,32930.0693613
No,No,218.639297043,48991.3953793
No,No,1218.16696582,43954.2774857
No,Yes,13.5168025504,19322.5450271
No,Yes,531.47869985,21726.5589726
No,No,165.538151695,33436.4557377
No,Yes,1351.84972233,25890.5039885
No,No,107.28208305,54143.9627498
No,No,947.19357138,35604.1171928
No,Yes,434.560259226,14812.6452404
No,No,1020.06724049,37458.8792492
No,No,662.305318022,31597.8976166
No,Yes,754.420612921,20767.6830203
No,No,289.489575693,44412.8951033
No,No,198.03840923,36270.9381202
No,Yes,516.060491677,16615.0219628
No,No,697.56380899,41755.3981467
No,Yes,502.324783468,16947.4229347
No,Yes,1459.68708305,15575.4192334
No,No,716.998722689,34418.2602228
No,Yes,1037.97270502,18324.0300569
No,No,673.016117196,29735.9615971
No,No,371.921784701,41099.7724418
No,No,89.1349579572,55604.6075315
No,No,1273.28018106,40895.2827703
No,No,600.723302967,18680.516769
No,No,905.038164637,40711.7988982
No,No,1061.44156214,54437.0103173
No,No,1672.6392483,46334.7877633
No,Yes,883.7026456,19750.0940029
No,No,373.780330004,53936.241777
No,No,1287.79518694,52382.6647044
No,No,1229.74257148,48739.9273907
No,Yes,510.613846954,22457.0517475
No,No,775.630168717,27205.8573939
No,No,1152.98288689,50206.5769342
No,Yes,1303.6625897,7986.00033583
No,No,1675.27885173,28244.5034751
No,No,398.277733045,30001.7950603
No,Yes,739.901759397,25023.8738564
No,No,226.417696514,32018.7136305
No,No,1217.32171213,25173.619608
No,No,639.820558249,29902.0019868
No,Yes,883.16697688,12717.4922313
No,No,2.287610953,38186.5242728
No,No,419.637347666,55967.9931673
No,Yes,1544.14024987,11102.5347437
No,No,1101.01501795,32153.0135927
Yes,No,1700.59991349,30488.9834105
No,No,311.824586868,48301.0596601
No,No,442.830222253,55074.130829
No,No,728.814960061,17909.5810716
No,No,278.87790252,37188.6683651
No,No,758.702327534,36625.9895523
No,No,620.339679439,22803.7410338
No,Yes,1890.16741148,18402.4648846
No,No,0.0,28951.4518952
No,Yes,1329.19884222,23184.0155485
No,No,1075.86377237,44128.6282564
No,No,618.527509223,54956.9905447
No,No,1111.08657582,27466.893682
No,No,864.039743519,45881.9302056
No,No,895.229809615,48512.4556412
No,Yes,954.030433689,21908.5271562
No,No,947.634932741,46813.5163081
No,No,267.303727744,23117.9286734
No,Yes,1366.80578323,23913.2088013
No,No,624.731883509,38325.1737554
No,No,13.6793826697,25221.6376688
No,No,785.86648565,44778.0157757
No,Yes,1353.0938457,18933.496195
No,No,480.321263915,25553.2628515
No,No,0.0,29507.3132469
No,Yes,1221.97124291,17916.8560895
No,Yes,1184.93652302,25108.7567118
No,Yes,478.572055605,27512.3448998
No,No,221.690461893,34786.1013516
No,No,578.387621688,41054.1386619
No,Yes,1361.45843241,19576.957132
No,Yes,977.848095603,19731.9609897
No,No,1184.42524488,36887.4399669
Yes,Yes,1118.70103943,21848.4429
Yes,No,1119.09724476,37224.5678135
No,No,776.349979307,31329.4848506
No,No,1322.29709108,51792.4023687
No,No,878.026457592,27438.5851151
No,No,1268.37951468,16921.180879
No,No,0.0,32611.3730693
No,No,0.0,37262.5740938
No,Yes,366.786957314,25833.063099
No,No,747.561036378,39898.7690859
No,No,1787.28514373,37499.093548
No,Yes,1929.44698026,14995.4921685
No,No,987.142890957,27961.3196085
No,Yes,856.357368421,20758.2146892
No,No,1101.14970709,18153.8443166
No,No,704.184519981,31515.9816788
No,No,555.623436676,40837.7316361
No,No,1073.4982606,44764.1105476
No,No,1126.22302301,32842.652372
No,Yes,649.773318564,15708.2963812
No,No,977.657620997,43743.4967298
No,No,1049.88996421,42637.5110638
No,Yes,1383.56633306,15764.3458759
No,Yes,1095.46573958,14065.167568
No,No,1089.371791,30224.5961305
No,No,605.220968306,21792.32152
No,No,1033.88539902,49262.0453292
No,No,1604.72055375,38186.9850695
No,No,826.327025939,24679.7150441
No,Yes,1176.14682329,16670.6807863
No,Yes,1275.02319939,19937.0980337
No,Yes,1290.28314006,23538.9441423
No,No,1133.47419932,51414.4959559
No,No,837.412566855,37400.4928846
No,Yes,379.082166688,18280.3670338
No,Yes,1134.1662785,12453.3635924
No,No,0.0,39120.0847899
No,No,1491.1748028,59394.3830781
No,Yes,1695.35958566,9582.94189712
No,No,705.573327639,54589.2398684
No,No,239.193366266,33743.2265525
No,Yes,1183.71064143,12428.6145139
No,No,898.761838912,38267.0815784
No,Yes,1524.29040045,11719.5934791
No,No,777.023737418,35115.0185513
No,No,1394.7958192,26074.9343644
No,Yes,0.0,20476.1557245
No,No,62.5715751602,47946.7670938
Yes,No,1981.45181538,28127.8954733
No,No,514.054034778,50053.2619258
No,No,722.788038959,53714.1860652
No,No,152.866304157,33716.8640608
No,No,293.184772854,35390.2875967
No,No,0.0,38613.6204965
No,Yes,645.366857229,17878.3643114
No,Yes,1515.15283305,26046.7720831
No,Yes,767.439505482,18846.4892212
No,Yes,491.879747053,21715.2262981
No,No,0.0,41389.4352722
No,No,0.0,34589.4880602
No,No,509.155164106,40132.6592072
No,Yes,965.587370085,16440.0996975
No,Yes,1868.54007231,20489.5981078
No,No,403.497205804,41803.7781626
No,No,593.143625069,37670.9350242
No,No,0.0,44547.8655466
No,No,742.290015884,39367.1933081
No,Yes,1110.10045653,13013.6105672
No,No,771.551295298,49440.4012945
No,No,624.338891498,42492.7530687
No,Yes,499.957229779,22884.9525653
No,No,1088.63752037,60650.0361323
No,No,1556.49192797,49669.6688732
No,Yes,797.084335731,23558.6830824
No,No,415.992502598,38215.678043
No,Yes,538.232681166,26833.0396298
No,Yes,1181.9347024,21086.0820079
No,Yes,836.020688627,9271.78992423
No,No,104.443215078,46928.0054912
No,No,564.209478578,53196.6230194
No,Yes,804.539402155,25091.4607663
No,No,1028.95364023,21218.3035199
No,No,748.746583668,8983.85690177
No,No,66.632080735,28735.9741149
No,No,452.802228898,48034.2377126
No,Yes,798.460510114,27724.0657529
No,Yes,1941.90292814,23467.1269661
No,No,1446.10101192,22996.4323021
No,No,761.064098291,61580.0341253
No,No,1350.17272836,43147.4555838
No,No,380.95020056,36943.3619941
No,Yes,1602.84960709,15906.4667974
No,No,147.610115488,37588.5626099
No,No,0.0,36283.0801271
No,Yes,733.072512376,18818.1673821
No,Yes,1082.74797627,26096.3370339
No,No,779.65730031,40804.4757034
No,No,994.158712171,65254.0757962
No,No,769.181374129,50070.7815462
No,Yes,684.098519096,4985.16911336
No,No,442.563301694,27898.4653946
Yes,No,1717.07159259,38408.8909167
No,No,0.0,36302.5284372
No,No,1092.34586485,44717.012577
No,No,497.334954116,35146.7987734
No,Yes,1149.68065499,16907.7007441
Yes,No,1465.21016364,58699.9831975
No,No,565.317604157,41789.6110017
No,Yes,922.137890502,12224.1851702
No,Yes,175.599380605,11510.0578678
No,No,1024.94681888,49675.560419
No,No,596.885432304,54091.6247597
No,No,750.410484209,53084.9074807
No,Yes,790.870027433,14183.9700258
No,No,112.327872498,42386.048555
No,Yes,738.394487316,16093.2845507
No,No,1157.85556069,54419.8085691
No,No,1213.24314926,45149.5163181
No,No,1339.62620419,41656.002893
No,No,588.312430204,56520.9625107
No,No,721.8081325,56375.7219879
No,No,680.820718973,43843.4741174
No,Yes,815.406570873,12071.7624998
No,No,1042.50711204,37170.1090493
No,Yes,663.249868122,20454.6165493
No,Yes,1478.61854506,18026.471099
No,No,337.756753994,33655.5724347
No,Yes,1273.55071962,23126.6361991
No,No,114.179725878,49562.9892653
No,No,0.0,52295.6009298
No,Yes,1516.31768923,26377.5934939
No,Yes,898.114673109,24164.7511007
No,No,790.590582117,48219.5944666
No,No,0.0,29072.7214938
No,No,1273.24483033,49136.4741959
No,No,1279.20044833,36063.114109
No,Yes,732.719380889,14568.7474096
Yes,No,1763.57908789,46227.0745421
No,Yes,1280.41844842,16310.9055269
No,No,1529.93799537,36912.8973016
No,Yes,345.467636476,18251.4945593
No,No,197.989403752,33723.9857592
Yes,Yes,1770.96944053,15975.5371965
No,Yes,639.371943541,17037.0547998
No,No,238.814643857,23526.7109062
No,No,390.555843077,45338.3572148
No,Yes,830.171511107,19476.5875791
No,Yes,1378.87607564,21613.5784702
No,No,242.403449316,37364.4230928
No,No,1236.54749355,36211.4903618
No,No,1063.77493669,34914.2752546
No,No,126.923178974,33819.1433221
No,No,758.465501262,38018.1456897
No,No,908.931458645,68758.8783989
No,No,558.518342411,46297.4254109
No,No,1819.24233339,36969.5525152
No,Yes,1110.68174401,19327.5750379
No,No,723.24337467,43459.0118543
No,No,972.031864031,18510.9460332
No,No,696.01443065,40741.4202403
No,Yes,1178.24890888,29362.604609
No,Yes,329.558510877,19371.8120917
No,Yes,792.529238473,14546.3017677
No,No,1246.0377577,33691.7213091
No,No,591.760776482,41670.2573825
No,No,244.081138801,24854.2498236
No,No,1038.54836006,49944.8651506
No,No,679.074586796,49488.5639815
No,No,1061.415836,40585.2216447
No,Yes,1268.24069092,11914.5782684
No,Yes,955.53368582,14736.7208791
No,No,1115.82062964,27882.8092644
No,Yes,601.16326061,22029.1935172
No,No,1097.60003895,52286.431823
No,No,1042.78307265,45982.9663185
No,Yes,1321.44305287,8624.11068874
No,No,1052.39326016,37637.6593074
No,No,687.951701062,27604.0792714
No,Yes,566.460512626,24828.2659836
No,No,769.414224038,35071.1665353
No,No,955.135342103,26372.9858153
No,No,643.409526465,28660.1401685
No,No,0.0,42745.3020131
No,No,437.636062596,45384.0474502
No,No,1278.86564161,34673.1709932
No,No,1639.39057197,30624.7759285
No,No,891.643737266,36470.8283402
No,Yes,316.459048313,18813.9402088
No,No,622.929507387,48874.555768
No,No,107.277526759,42287.3028621
No,Yes,990.543215774,12398.4906038
No,No,0.0,45659.9957026
No,No,0.0,33119.9553306
No,No,591.218487289,35287.8245844
No,Yes,928.060078266,21121.8448328
No,No,304.599223899,40785.9891775
No,No,235.939497687,31336.5101186
No,Yes,1108.05351768,10853.2309396
No,No,687.306396977,24563.7576757
No,No,60.1860361263,39864.8635504
No,No,0.0,34648.9725974
No,No,272.893257145,58730.5728615
Yes,No,1531.71645932,43930.4000956
No,No,949.608648513,47702.5737458
No,No,561.916178455,35080.5792438
No,No,468.132522197,25231.3462345
No,Yes,993.108169992,12215.9468218
No,No,0.0,31314.6950884
No,Yes,759.478369178,12710.7209232
No,No,1340.7872093,36440.2283216
No,Yes,1521.4633955,15210.4740695
No,No,133.74334435,30457.0163661
Yes,No,780.172569172,51656.8740638
No,No,839.91545835,22884.7930171
No,No,913.505872938,36670.854223
No,No,924.881441457,35712.6379058
No,No,1197.83150461,54652.3092984
No,No,49.209665896,30451.1528588
No,No,970.716096586,48387.6486173
No,No,783.05740054,54082.4240845
No,Yes,465.062888614,20379.0620895
No,No,0.0,39337.7499765
No,Yes,732.264267594,21986.0454537
No,No,576.091261344,37679.6985893
No,Yes,588.991056252,16309.8754486
No,No,863.140717831,43779.4778546
No,No,857.575733974,49675.3703183
No,No,361.501731061,33674.8902393
No,No,891.155427067,36023.0850073
No,No,918.122205965,44738.5560305
No,No,1335.02801828,21150.8559447
No,No,421.400843425,39873.5217445
No,Yes,743.636144477,18883.9715059
No,No,773.740372463,41872.4947626
No,No,731.39347217,45251.881921
No,No,964.188922685,36330.3945986
No,Yes,350.015184264,17657.1726575
No,No,1206.66136205,37125.5913513
No,No,1051.94757327,52888.1850963
No,No,454.760370678,45572.1724845
No,No,932.665307536,42758.6007035
No,No,535.745846469,36259.4637553
No,No,241.805252169,41186.1828072
No,No,1026.5067098,42042.1679417
No,Yes,187.679885571,18278.8339671
No,No,197.538321479,58646.9278047
No,No,585.708088259,43288.4003827
No,Yes,1947.02240116,12147.0464092
No,No,829.547597492,39717.5376088
No,No,196.93845954,35488.4488836
No,No,591.863619019,31438.7760127
No,No,0.0,39742.105458
No,Yes,1008.29161868,11939.2952561
No,Yes,1052.22747774,17410.7515926
No,No,331.680526736,49756.1710111
No,No,913.107203974,29414.6521752
No,Yes,561.391612169,21747.2631759
No,No,246.955462979,47692.8942495
No,No,578.978610086,46304.7174762
No,No,557.808777128,62352.8460746
No,Yes,788.251751591,10418.1828574
No,No,1060.80742927,39174.0563607
No,Yes,1247.90702871,19816.7201433
No,No,1184.36072325,34259.9901986
No,No,1024.57823829,33071.5499189
No,No,1080.29165557,43367.8995669
No,No,540.279044843,26267.1563495
No,No,1448.83546537,33835.7362564
No,Yes,561.194035284,27421.1112561
No,No,1191.48030659,30040.5721479
No,No,565.138987532,38202.5839367
No,No,482.98219522,35845.1928315
No,No,950.350093349,37486.2495546
No,Yes,350.702913455,21235.3604162
Yes,Yes,1551.02346886,19027.5086326
No,No,981.596275087,37747.9133549
No,No,1442.12980525,10921.615028
No,No,1060.33586009,56607.2539732
No,No,1154.8907923,61794.3463334
No,Yes,544.139769261,20056.8285439
No,No,1137.17545423,27588.9333054
No,No,414.08404949,47811.4189244
No,Yes,436.008314418,17504.4477733
No,No,987.814799702,25809.9802799
No,No,679.391841765,46603.5464099
No,No,1377.77200719,51633.3295509
No,No,856.81196046,32437.1318349
No,No,1036.67683329,44923.8027469
No,No,0.0,46826.8044672
No,No,961.472070663,51936.7598875
No,No,275.98809126,35622.8294518
No,No,426.6935421,30769.3447725
No,No,290.251908153,46214.1592342
No,No,934.969703458,42325.7499854
No,Yes,668.991155587,26342.0484613
No,Yes,2004.72756831,27136.537977
No,No,1312.86572975,29938.2594628
No,Yes,662.273556493,15092.0510234
No,No,524.639805989,36120.8922606
No,Yes,1212.5895676,21058.3486628
No,No,961.315769352,30290.8065049
Yes,Yes,1504.29017814,13965.1860445
No,Yes,613.656318023,25040.4884532
No,Yes,1233.34360466,13402.073285
No,No,1221.38595935,36961.3151242
No,No,1217.05680668,46256.7804873
No,No,628.757698444,43205.1752975
No,Yes,819.097316109,15957.9436405
No,Yes,843.493455075,12710.0257139
No,No,1173.559815,29141.3657348
No,Yes,1195.59028307,13329.5964048
No,No,1202.88312358,12288.127075
No,No,24.8718234851,29316.9703344
No,No,853.241421585,29484.0523802
No,No,398.775705284,40223.9098079
No,Yes,1521.17239555,18149.8861866
No,Yes,1160.2217927,15941.0508838
No,No,985.614062737,49948.4671119
No,No,583.820719257,38215.9647632
No,Yes,638.691982603,18148.301705
No,No,384.997719464,25380.7034544
No,No,1050.76423069,31558.8984246
Yes,Yes,1871.93838694,18077.4870928
No,No,793.761717609,35157.7399755
No,Yes,591.660651333,21790.502425
No,No,419.476441267,24001.5121969
No,Yes,514.283890206,18185.4796975
No,No,1027.89503525,21551.6110897
No,Yes,1029.68154856,15977.3211389
No,Yes,953.626323812,18363.0684974
No,Yes,1463.33776515,11579.1594523
No,No,1172.45949911,34690.138279
No,Yes,548.272863945,12048.8228923
No,No,1752.88378856,48250.104621
No,Yes,555.920680161,23909.7064938
No,Yes,1560.9317522,13621.5691623
No,Yes,839.883556562,16883.3388582
No,Yes,1112.81797848,13634.9076284
No,No,1309.25377246,43278.0592843
No,No,940.590874822,41560.4709935
No,No,1019.24897719,41195.3701169
No,No,433.669019529,32904.6977155
No,No,1015.11542504,42050.4665242
No,No,75.1776630662,52765.9782831
